participant_id,session_id,client_utc,attempt,island_id,phase,event_type,trial_index,phase_trial_index,distractor_id,distractor_name,weight_target,onset_ms,offset_ms,planned_duration_ms,actual_duration_ms,dp_elapsed_onset_ms,dp_elapsed_offset_ms,active_count_at_onset,active_set_at_onset,distractor_base_seed,distractor_combined_seed,distractor_mode,dp_budget_seconds,min_on_seconds,max_on_seconds,on_step_seconds,single_presentations_per_distractor,no_adjacent_episode_overlap
P_20260915_163317,S_20260915_163305,2026-09-15T14:34:46.6458202Z,1,MAGICACADEMY,DP,ON,15,0,D2,Turtle,0.1666667,59495,,700,,132,,1,D2,-1411599392,1381390231,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_163317,S_20260915_163305,2026-09-15T14:34:47.5010039Z,1,MAGICACADEMY,DP,OFF,15,0,D2,Turtle,0.1666667,59495,60195,700,700,132,832,1,D2,-1411599392,1381390231,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_163317,S_20260915_163305,2026-09-15T14:34:48.4665593Z,1,MAGICACADEMY,DP,ON,16,1,D5,BabyHead,0.1666667,61325,,700,,1962,,1,D5,-1411599392,1381390231,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_163317,S_20260915_163305,2026-09-15T14:34:49.2444674Z,1,MAGICACADEMY,DP,OFF,16,1,D5,BabyHead,0.1666667,61325,62025,700,700,1962,2662,1,D5,-1411599392,1381390231,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_163317,S_20260915_163305,2026-09-15T14:34:49.9914566Z,1,MAGICACADEMY,DP,ON,17,2,D4,Pirate,0.1666667,62847,,700,,3484,,1,D4,-1411599392,1381390231,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_163317,S_20260915_163305,2026-09-15T14:34:50.7197800Z,1,MAGICACADEMY,DP,OFF,17,2,D4,Pirate,0.1666667,62847,63547,700,700,3484,4184,1,D4,-1411599392,1381390231,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_163317,S_20260915_163305,2026-09-15T14:34:51.7775707Z,1,MAGICACADEMY,DP,ON,18,3,D6,Cage,0.1666667,64635,,700,,5272,,1,D6,-1411599392,1381390231,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_163317,S_20260915_163305,2026-09-15T14:34:52.7455208Z,1,MAGICACADEMY,DP,OFF,18,3,D6,Cage,0.1666667,64635,65335,700,700,5272,5972,1,D6,-1411599392,1381390231,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_163317,S_20260915_163305,2026-09-15T14:34:53.1812875Z,1,MAGICACADEMY,DP,ON,19,4,D3,Squid,0.1666667,66040,,700,,6677,,1,D3,-1411599392,1381390231,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_163317,S_20260915_163305,2026-09-15T14:34:53.9513502Z,1,MAGICACADEMY,DP,OFF,19,4,D3,Squid,0.1666667,66040,66740,700,700,6677,7377,1,D3,-1411599392,1381390231,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_163317,S_20260915_163305,2026-09-15T14:34:54.5781252Z,1,MAGICACADEMY,DP,ON,20,5,D1,Parrot,0.1666667,67435,,700,,8072,,1,D1,-1411599392,1381390231,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_163317,S_20260915_163305,2026-09-15T14:34:55.3164282Z,1,MAGICACADEMY,DP,OFF,20,5,D1,Parrot,0.1666667,67435,68135,700,700,8072,8772,1,D1,-1411599392,1381390231,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_163317,S_20260915_163305,2026-09-15T14:34:56.0240967Z,1,MAGICACADEMY,DP,ON,21,6,D6,Cage,0.1666667,68882,,700,,9519,,1,D6,-1411599392,1381390231,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_163317,S_20260915_163305,2026-09-15T14:34:56.7390852Z,1,MAGICACADEMY,DP,OFF,21,6,D6,Cage,0.1666667,68882,69582,700,700,9519,10219,1,D6,-1411599392,1381390231,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_163317,S_20260915_163305,2026-09-15T14:34:57.6593940Z,1,MAGICACADEMY,DP,ON,22,7,D4,Pirate,0.1666667,70517,,700,,11154,,1,D4,-1411599392,1381390231,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_163317,S_20260915_163305,2026-09-15T14:34:58.3736694Z,1,MAGICACADEMY,DP,OFF,22,7,D4,Pirate,0.1666667,70517,71217,700,700,11154,11854,1,D4,-1411599392,1381390231,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_163317,S_20260915_163305,2026-09-15T14:34:58.8947567Z,1,MAGICACADEMY,DP,ON,23,8,D2,Turtle,0.1666667,71752,,700,,12389,,1,D2,-1411599392,1381390231,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_163317,S_20260915_163305,2026-09-15T14:34:59.6033734Z,1,MAGICACADEMY,DP,OFF,23,8,D2,Turtle,0.1666667,71752,72452,700,700,12389,13089,1,D2,-1411599392,1381390231,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_163317,S_20260915_163305,2026-09-15T14:34:59.9513115Z,1,MAGICACADEMY,DP,ON,24,9,D3,Squid,0.1666667,72809,,700,,13446,,1,D3,-1411599392,1381390231,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_163317,S_20260915_163305,2026-09-15T14:35:00.6671249Z,1,MAGICACADEMY,DP,OFF,24,9,D3,Squid,0.1666667,72809,73509,700,700,13446,14146,1,D3,-1411599392,1381390231,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_163317,S_20260915_163305,2026-09-15T14:35:01.7758286Z,1,MAGICACADEMY,DP,ON,25,10,D5,BabyHead,0.1666667,74634,,700,,15271,,1,D5,-1411599392,1381390231,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
